"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"179","309526_2022-10-27","0.03",0.03,FALSE,"",0.03,"<0.01",0.01,TRUE,"",-1,"0.03",0.03,FALSE,"",0.03,"38",38,FALSE,"",38,"0.1",0.1,FALSE,"",0.1,"309526",2022-10-27 14:30:00,"Energy Labs",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"180","309526_2023-01-04","<0.05",0.05,TRUE,"",-1,"<0.05",0.05,TRUE,"",-1,"<0.05",0.05,TRUE,"",-1,"39.71",39.71,FALSE,"",39.71,"0.15",0.15,FALSE,"",0.15,"309526",2023-01-04 11:30:00,"City of Billings",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"181","309526_2023-03-02","0.02",0.02,FALSE,"",0.02,"<0.01",0.01,TRUE,"",-1,"0.02",0.02,FALSE,"",0.02,"36",36,FALSE,"",36,"0.1",0.1,FALSE,"",0.1,"309526",2023-03-02 12:06:00,"Energy Labs",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"182","309526_2023-03-29","1.900",1.9,FALSE,"",1.9,"0.050",0.05,FALSE,"",0.05,"1.580",1.58,FALSE,"",1.58,"48.240",48.24,FALSE,"",48.24,"187.000",0.187,FALSE,"",187,"309526",2023-03-29 09:34:00,"MBMG",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"183","309526_2023-05-09","<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"38",38,FALSE,"",38,"0.2",0.2,FALSE,"",0.2,"309526",2023-05-09 10:38:00,"Energy Labs",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"184","309526_2023-07-06","<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"37",37,FALSE,"",37,"<0.01",0.01,TRUE,"",-1,"309526",2023-07-06 11:00:00,"Energy Labs",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"185","309526_2023-09-07","0.350",0.35,FALSE,"",0.35,"0.040 J",0.04,FALSE," J",0.04,"0.280",0.28,FALSE,"",0.28,"46.860",46.86,FALSE,"",46.86,"178.000",0.178,FALSE,"",178,"309526",2023-09-07 10:45:00,"MBMG",45.78055,-108.65951,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"186","319404_2022-08-29","9.35",9.35,FALSE,"",9.35,"<0.05",0.05,TRUE,"",-1,"9.04",9.04,FALSE,"",9.04,"86.6",86.6,FALSE,"",86.6,"<0.05",0.05,TRUE,"",-1,"319404",2022-08-29 10:46:00,"City of Billings",45.77464,-108.61145,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"187","319527_2023-09-07","9.840",9.84,FALSE,"",9.84,"<0.050 U",0.05,TRUE," U",-1,"9.570",9.57,FALSE,"",9.57,"38.850",38.85,FALSE,"",38.85,"321.000",0.321,FALSE,"",321,"319527",2023-09-07 13:20:00,"MBMG",45.76067,-108.65598,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"188","319819_2022-10-26","0.96",0.96,FALSE,"",0.96,"<0.01",0.01,TRUE,"",-1,"0.96",0.96,FALSE,"",0.96,"17",17,FALSE,"",17,"<0.01",0.01,TRUE,"",-1,"319819",2022-10-26 09:54:00,"Energy Labs",45.79088,-108.52964,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
